ee_id,word,type_1,type_2
63,don’t, verbal,
64,Don’t, verbal,
65,doesn’t, verbal,
66,Doesn’t, verbal,
67,didn’t, verbal,
68,Didn’t, verbal,
69,aren’t, verbal,
70,Aren’t, verbal,
71,isn’t, verbal,
72,Isn’t, verbal,
73,wasn’t, verbal,
74,Wasn’t, verbal,
75,weren’t, verbal,
76,Weren’t, verbal,
77,won’t, verbal,
78,Won’t, verbal,
79,hasn’t, verbal,
80,Hasn’t, verbal,
81,haven’t, verbal,
82,Haven’t, verbal,
83,hadn’t, verbal,
84,Hadn’t, verbal,
85,can’t, verbal,
86,Can’t, verbal,
87,couldn’t, verbal,
88,Couldn’t, verbal,
89,ain’t, verbal,
90,Ain’t, verbal,
91,wouldn’t, verbal,
92,Wouldn’t, verbal,
